Development_Status_Origin,Use,Region_Destination,Development_Status_Destination,Value
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.00003
Advanced,Mitigation,Middle East & North Africa,LDC,0.00001
EMDE,Dual benefit,Sub-Saharan Africa,EMDE,0.0085
Advanced,Mitigation,Western Europe,Advanced,0
Transregional,Mitigation,East Asia & Pacific,LDC,0
China,Dual benefit,Central Asia & Eastern Europe,EMDE,0.00011
Advanced,Mitigation,Other Oceania,Advanced,0.00296
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.02381
EMDE,Dual benefit,East Asia & Pacific,EMDE,0.00002
Advanced,Mitigation,East Asia & Pacific,EMDE,0
China,Mitigation,Latin America & Caribbean,EMDE,0.00172
Advanced,Mitigation,East Asia & Pacific,China,0.00001
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00063
Advanced,Mitigation,South Asia,EMDE,0.00001
EMDE,Mitigation,South Asia,EMDE,0.00184
Advanced,Adaptation,Middle East & North Africa,EMDE,0.32328
EMDE,Adaptation,South Asia,LDC,0.00078
EMDE,Adaptation,South Asia,EMDE,0.00287
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.11533
LDC,Adaptation,East Asia & Pacific,EMDE,0.00076
Advanced,Adaptation,East Asia & Pacific,LDC,0.0183
LDC,Adaptation,East Asia & Pacific,LDC,0
LDC,Adaptation,Sub-Saharan Africa,LDC,0.00001
Advanced,Adaptation,South Asia,EMDE,0.00002
China,Adaptation,Middle East & North Africa,EMDE,0.00001
Advanced,Adaptation,US & Canada,Advanced,0.00564
Advanced,Adaptation,Central Asia & Eastern Europe,EMDE,0.00024
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.04879
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0.0009
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00363
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.00062
Transregional,Adaptation,Latin America & Caribbean,EMDE,0
Advanced,Mitigation,East Asia & Pacific,LDC,0.00001
Advanced,Mitigation,Transregional,Transregional,0.00072
Advanced,Dual benefit,Transregional,EMDE,0.00504
China,Adaptation,Transregional,LDC,0.00003
Advanced,Adaptation,Transregional,LDC,0.07646
Advanced,Adaptation,Transregional,EMDE,0.00213
Advanced,Adaptation,Transregional,LDC,0.00002
LDC,Adaptation,Transregional,EMDE,0.00002
China,Mitigation,Latin America & Caribbean,EMDE,0.00008
China,Mitigation,East Asia & Pacific,China,1.22508
Advanced,Mitigation,Latin America & Caribbean,Advanced,0
Advanced,Mitigation,Latin America & Caribbean,Advanced,0.00003
EMDE,Mitigation,Latin America & Caribbean,EMDE,0
EMDE,Dual benefit,South Asia,EMDE,0.00018
LDC,Mitigation,Latin America & Caribbean,EMDE,0.00003
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.01143
Advanced,Dual benefit,Latin America & Caribbean,LDC,0
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00388
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00002
Advanced,Mitigation,East Asia & Pacific,Advanced,1.69356
Advanced,Mitigation,US & Canada,Advanced,18.49547
Transregional,Mitigation,Latin America & Caribbean,EMDE,0.00088
EMDE,Mitigation,East Asia & Pacific,EMDE,0.19631
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.31045
Advanced,Mitigation,Latin America & Caribbean,Advanced,0.00003
Advanced,Mitigation,Western Europe,Advanced,10.31473
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.00118
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.30071
Advanced,Dual benefit,Middle East & North Africa,EMDE,0.00067
Advanced,Mitigation,East Asia & Pacific,China,0.0516
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00037
Advanced,Dual benefit,Latin America & Caribbean,LDC,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00044
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00007
Advanced,Mitigation,East Asia & Pacific,Advanced,0.12708
Advanced,Dual benefit,Middle East & North Africa,EMDE,0.00026
Advanced,Dual benefit,Middle East & North Africa,EMDE,0.00131
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.08471
LDC,Mitigation,East Asia & Pacific,EMDE,0
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0.01056
China,Mitigation,East Asia & Pacific,China,0.07683
EMDE,Mitigation,East Asia & Pacific,LDC,0.00002
Advanced,Mitigation,South Asia,EMDE,0.00012
Advanced,Mitigation,East Asia & Pacific,China,0.00003
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00016
Unknown,Mitigation,Middle East & North Africa,EMDE,0.00164
Advanced,Mitigation,US & Canada,Advanced,0.00002
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00001
Advanced,Dual benefit,South Asia,EMDE,0.00388
China,Adaptation,Sub-Saharan Africa,EMDE,0
Advanced,Adaptation,East Asia & Pacific,EMDE,0.00238
Advanced,Adaptation,East Asia & Pacific,Advanced,0
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00021
China,Adaptation,Sub-Saharan Africa,EMDE,0.0019
Advanced,Adaptation,Middle East & North Africa,LDC,0.03461
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.03309
China,Adaptation,Latin America & Caribbean,EMDE,0
LDC,Adaptation,Middle East & North Africa,EMDE,0
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.00002
Advanced,Adaptation,Middle East & North Africa,EMDE,0.00421
EMDE,Adaptation,East Asia & Pacific,China,0.00043
LDC,Adaptation,Sub-Saharan Africa,EMDE,0
China,Adaptation,Sub-Saharan Africa,EMDE,0.00001
Advanced,Adaptation,South Asia,LDC,0.04876
Advanced,Adaptation,Central Asia & Eastern Europe,EMDE,0.00019
Advanced,Adaptation,South Asia,EMDE,0.00309
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0.00249
LDC,Adaptation,Sub-Saharan Africa,EMDE,0
Advanced,Mitigation,Latin America & Caribbean,Advanced,0
Advanced,Mitigation,Transregional,LDC,0.00002
Advanced,Mitigation,Transregional,LDC,0.00352
Advanced,Dual benefit,Transregional,EMDE,0.00328
LDC,Adaptation,Transregional,Advanced,0
LDC,Adaptation,Transregional,EMDE,0.00001
Advanced,Adaptation,Transregional,EMDE,0.00128
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00007
Advanced,Dual benefit,South Asia,EMDE,0.00005
China,Dual benefit,South Asia,LDC,0.00418
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00421
EMDE,Dual benefit,South Asia,EMDE,0.00015
Advanced,Mitigation,Middle East & North Africa,EMDE,0.07067
LDC,Mitigation,Latin America & Caribbean,EMDE,0.00001
Advanced,Mitigation,South Asia,EMDE,0
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.00009
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00005
Advanced,Mitigation,East Asia & Pacific,Advanced,0.00244
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.10235
EMDE,Mitigation,South Asia,EMDE,0.41037
EMDE,Mitigation,Middle East & North Africa,EMDE,0.15721
EMDE,Mitigation,South Asia,EMDE,0.01127
China,Mitigation,Sub-Saharan Africa,LDC,0.00326
EMDE,Dual benefit,East Asia & Pacific,EMDE,0
Advanced,Dual benefit,Other Oceania,Advanced,0.43919
Advanced,Mitigation,East Asia & Pacific,EMDE,0
Unknown,Mitigation,Central Asia & Eastern Europe,EMDE,0.01107
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00078
Advanced,Dual benefit,East Asia & Pacific,China,0.00001
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.00099
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0.00009
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00013
China,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00054
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.0663
Advanced,Mitigation,South Asia,LDC,0.00005
Unknown,Mitigation,Central Asia & Eastern Europe,Advanced,0.0025
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0.00003
EMDE,Adaptation,Central Asia & Eastern Europe,EMDE,0.00001
EMDE,Adaptation,East Asia & Pacific,LDC,0.00036
Advanced,Adaptation,Western Europe,Advanced,0.00021
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.26311
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.02024
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.15767
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0.00174
Advanced,Adaptation,East Asia & Pacific,EMDE,0.0005
Advanced,Adaptation,Western Europe,Advanced,2.09731
Advanced,Adaptation,East Asia & Pacific,EMDE,0.00005
China,Dual benefit,Unknown,Unknown,0.29351
Advanced,Dual benefit,East Asia & Pacific,China,0
Advanced,Dual benefit,East Asia & Pacific,Advanced,0
China,Adaptation,Sub-Saharan Africa,LDC,0
Advanced,Adaptation,Other Oceania,Advanced,0.00087
Advanced,Mitigation,Transregional,EMDE,0.00001
Advanced,Mitigation,Transregional,EMDE,0.00032
Advanced,Mitigation,Transregional,EMDE,0
Advanced,Dual benefit,Transregional,Advanced,0.00006
EMDE,Dual benefit,Transregional,EMDE,0.00062
EMDE,Mitigation,Transregional,EMDE,0.00089
Advanced,Mitigation,Transregional,Advanced,0
Advanced,Mitigation,Transregional,EMDE,0
Advanced,Mitigation,Transregional,Advanced,0
Advanced,Adaptation,Transregional,LDC,0
Advanced,Adaptation,Transregional,LDC,0.19894
China,Adaptation,Transregional,LDC,0.00001
EMDE,Adaptation,Transregional,EMDE,0.00029
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.02995
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0.08893
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00021
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00006
LDC,Dual benefit,Latin America & Caribbean,EMDE,0
EMDE,Mitigation,Middle East & North Africa,EMDE,0.01454
Advanced,Mitigation,South Asia,EMDE,0.02447
